route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"5-T01-y08-1","1","T1","","0","FF00FF","000000"
"11-MGr-n-y08-1","1","MGrn","","1","3AD01D","000000"
"11-MRe-d-y08-1","1","MRed","","1","3AD01D","000000"
"11-MBr-c-y08-1","1","MBrch","","1","3AD01D","000000"
"10","1","10","Gold Souq Bus Stn - Al Quoz Bus Stn","3","FFC000","000000"
"1001","1","13D","Gold Souq Bus Stn - Al Qusais Bus Stn","3","FFC000","000000"
"1002","1","91A","Gold Souq Bus Stn - Jebel Ali Bus Stn","3","FFC000","000000"
"1003","1","95A","Ibn Battuta MS - Jebel Ali Waterfront Labour Camp","3","FFC000","000000"
"1004","1","11A","Gold Souq Bus Stn - Al Awir Immigration","3","FFC000","000000"
"1005","1","64A","Gold Souq Bus Stn - Ras Al Khor Samari Residence","3","FFC000","000000"
"1006","1","11B","Al Rashidiya Bus Stn - Al Awir Immigration","3","FFC000","000000"
"1007","1","13A","Gold Souq Bus Stn - Al Qusais Bus Stn","3","FFC000","000000"
"1009","1","32C","Al Qusais Bus Stn - Al Satwa Bus Stn","3","FFC000","000000"
"1010","1","61D","Al Ghubaiba Bus Stn - Nad Al Shiba Clinic","3","FFC000","000000"
"1011","1","63E","Al Qusais Bus Stn - Al Quoz Bus Stn","3","FFC000","000000"
"1012","1","98E","Al Quoz Bus Stn - Al Satwa","3","FFC000","000000"
"1013","1","JLT1","Sobha Realty MS - JLT, Damas","3","FFC000","000000"
"1014","1","JLT2","DMCC MS - JLT, Silver Tower","3","FFC000","000000"
"1015","1","N55","Al Ghubaiba Bus Stn - AMI Airport (PTB)","3","FFC000","000000"
"1016","1","DPR1","Ibn Battuta MS - Dubai Parks and Resorts","3","FFC000","000000"
"1017","1","N30","Dragon Mart 2 Terminus - Airport Terminal 2","3","FFC000","000000"
"1018","1","J01","MOE MS - Jumeirah Village Circle","3","FFC000","000000"
"1019","1","D03","Dubai Mall MS - Dubai Design District","3","FFC000","000000"
"1020","1","D03A","Dubai Mall MS - Dubai Design District","3","FFC000","000000"
"1021","1","J02","IMPZ - Mira","3","FFC000","000000"
"1022","1","J03","Dubai Studio City - Damac Hills","3","FFC000","000000"
"1023","1","J04","Dubai Studio City - Remraam","3","FFC000","000000"
"1025","1","SM1","Gold Souq Bus Stn - Souq Al Marfa Deira","3","FFC000","000000"
"12","1","12","Al Ghubaiba Bus Stn - Al Quoz Bus Stn","3","FFC000","000000"
"13","1","13","Gold Souq Bus Stn - Al Qusais DM Housing","3","FFC000","000000"
"14","1","14","Oud Metha Bus Stn - Safa Terminus","3","FFC000","000000"
"15","1","15","Al Ghubaiba Bus Stn - Al Khail Gate","3","FFC000","000000"
"17","1","17","Al Sabkha Bus Stn - Muhaisnah 4, Wasl Oasis II","3","FFC000","000000"
"20","1","20","Al Warsan 3 - Al Nahda 1, Terminus 2","3","FFC000","000000"
"2000","1","C01","Airport Terminal 3 - Al Satwa Bus Stn","3","FFC000","000000"
"2002","1","C10","Hamriya Port, Control Tower - Mercato Shopping Mall","3","FFC000","000000"
"2004","1","C15","Hamriya Port, Control Tower - Deira City Center Bus Stn","3","FFC000","000000"
"2005","1","C03","Al Karama Bus Stn - Abu Hail MS","3","FFC000","000000"
"2007","1","C18","Shaikh Rashid Colony - Oud Metha Bus Stn","3","FFC000","000000"
"2014","1","C26","Al Wasl Park - Qusais Ind'l Area","3","FFC000","000000"
