table_name,field_name,language,translation,record_id
stops,stop_name,ar,محطة المترو_سنتربوينت 1,12801
stops,stop_name,ar,محطة المترو_سنتربوينت 2,12802
stops,stop_name,ar,محطة المترو_طيران الإمارات 1,12901
stops,stop_name,ar,محطة المترو_طيران الإمارات 2,12902
stops,stop_name,ar,محطة المترو-المطار- مبنى رقم  3 1,13001
stops,stop_name,ar,محطة المترو-المطار- مبنى رقم 3 2,13002
stops,stop_name,ar,محطة المترو-المطار- مبنى رقم1 1,13101
stops,stop_name,ar,محطة المترو-المطار- مبنى رقم  1 2,13102
stops,stop_name,ar,محطة المترو_ جي جي كو 1,13201
stops,stop_name,ar,محطة المترو_ جي جي كو 2,13202
stops,stop_name,ar,ديرة سيتي سنتر _ محطة المترو 1,13301
stops,stop_name,ar,ديرة سيتي سنتر _ محطة المترو 2,13302
stops,stop_name,ar,محطة المترو_الرقـــة 1,13401
stops,stop_name,ar,محطة المترو_الرقـــة 2,13402
stops,stop_name,ar,محطة المترو_ الاتحاد 1,13501
stops,stop_name,ar,محطة المترو_ الاتحاد 2,13502
stops,stop_name,ar,محطة المترو_برجمان 1,13601
stops,stop_name,ar,محطة المترو_برجمان 2,13602
stops,stop_name,ar,محطة مترو بنك أبوظبي التجاري  1,13701
stops,stop_name,ar,محطة مترو بنك أبوظبي التجاري  2,13702
stops,stop_name,ar,محطة المترو_ماكس 1,13801
stops,stop_name,ar,محطة المترو_ماكس 2,13802
stops,stop_name,ar,محطة المترو_المركز التجاري العالمي 1,13901
stops,stop_name,ar,محطة المترو_المركز التجاري العالمي 2,13902
stops,stop_name,ar,محطة المترو_أبراج الإمارات 1,14001
stops,stop_name,ar,محطة المترو_أبراج الإمارات 2,14002
stops,stop_name,ar,محطة المترو_المركز المالي 1,14101
stops,stop_name,ar,محطة المترو_المركز المالي 2,14102
stops,stop_name,ar,محطة المترو_ برج خليفة / دبي مول 1,14201
stops,stop_name,ar,محطة المترو_ برج خليفة / دبي مول 2,14202
stops,stop_name,ar,محطة المترو_الخليج التجاري 1,14301
stops,stop_name,ar,محطة المترو_الخليج التجاري 2,14302
stops,stop_name,ar,محطة المترو_الصفا 1,14601
stops,stop_name,ar,محطة المترو_الصفا 2,14602
stops,stop_name,ar,محطة المترو_أم الشيف 1,14801
stops,stop_name,ar,محطة المترو_أم الشيف 2,14802
stops,stop_name,ar,محطة المترو_مول الإمارات  1,14901
stops,stop_name,ar,محطة المترو_مول الإمارات 2,14902
stops,stop_name,ar,محطة المترو_المشرق 1,15001
stops,stop_name,ar,محطة المترو_المشرق 2,15002
stops,stop_name,ar,محطة المترو_مدينة دبي للأنترنت 1,15101
stops,stop_name,ar,محطة المترو_مدينة دبي للأنترنت 2,15102
stops,stop_name,ar,محطة المترو_الخيل 1,15201
stops,stop_name,ar,محطة المترو_الخيل 2,15202
stops,stop_name,ar,محطة المترو_شوبا العقارية 1,15301
stops,stop_name,ar,محطة المترو_شوبا العقارية 2,15302
stops,stop_name,ar,1 محطة مترو مركز دبي للسلع المتعددة,15401
stops,stop_name,ar,محطة مترو مركز دبي للسلع المتعددة 2,15402
stops,stop_name,ar,محطة المترو_جبل علي 1,15501
stops,stop_name,ar,محطة المترو_جبل علي 2,15502
stops,stop_name,ar,محطة المترو_جبل علي 3,15503
stops,stop_name,ar,محطة المترو_جبل علي 4,15504
stops,stop_name,ar,محطة المترو_ابن بطوطة 1,15601
stops,stop_name,ar,محطة المترو_ابن بطوطة 2,15602
stops,stop_name,ar,1 محطة المترو_هيئة الطاقة,15701
stops,stop_name,ar,محطة المترو_هيئة الطاقة 2,15702
stops,stop_name,ar,محطة مترو_دانوب 1,15801
stops,stop_name,ar,محطة مترو_دانوب 2,15802
stops,stop_name,ar,محطة مترو الإمارات العربية المتحدة للصرافة 1,15901
stops,stop_name,ar,محطة مترو الإمارات العربية المتحدة للصرافة 2,15902
stops,stop_name,ar,إتصالات - محطة المترو 1,16001
stops,stop_name,ar,إتصالات - محطة المترو 2,16002
stops,stop_name,ar,القصيص - محطة المترو 1,16101
stops,stop_name,ar,القصيص - محطة المترو 2,16102
stops,stop_name,ar,المنطقة الحرة - مطار دبي - محطة المترو 1,16201
stops,stop_name,ar,المنطقة الحرة - مطار دبي - محطة المترو2,16202
stops,stop_name,ar,النهدة - محطة المترو 1,16301
stops,stop_name,ar,النهدة - محطة المترو 2,16302
stops,stop_name,ar,الأستاد - محطة المترو 1,16401
