name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,0,47515357,,yes,,,,"POLYGON ((55.2744145 25.1960469, 55.2742387 25.1960293, 55.2740519 25.1960425, 55.2738701 25.1960774, 55.2737175 25.1961245, 55.2735775 25.1961821, 55.273738 25.1961984, 55.2738878 25.1962304, 55.2740116 25.1962567, 55.2740915 25.1962848, 55.2740688 25.1963681, 55.2741076 25.1964218, 55.2741466 25.1963104, 55.2742063 25.1963381, 55.2742449 25.1962654, 55.2742931 25.1961903, 55.2743525 25.1961138, 55.2744145 25.1960469))",POINT (55.2740600537656 25.196163156431634),,1
دبي مول,1,47515677,,retail,,,,"POLYGON ((55.2753494 25.1968281, 55.2753912 25.1969894, 55.2754686 25.1969843, 55.2755991 25.1971313, 55.275702 25.1971122, 55.2757165 25.1972148, 55.2757217 25.1973182, 55.2757174 25.1974216, 55.2757038 25.1975243, 55.275681 25.1976257, 55.275649 25.1977251, 55.2756081 25.1978217, 55.2755586 25.197915, 55.2755008 25.1980043, 55.2754351 25.198089, 55.2753619 25.1981685, 55.2752804 25.1982423, 55.2751625 25.1983189, 55.2750395 25.1983905, 55.274913 25.198457, 55.2747834 25.1985184, 55.2746509 25.1985744, 55.2745863 25.1986455, 55.2745845 25.1987168, 55.2746395 25.1987435, 55.2746333 25.1987707, 55.2746358 25.1987985, 55.2746469 25.1988245, 55.2746657 25.1988466, 55.2746912 25.1988633, 55.274721 25.1988726, 55.2747525 25.1988738, 55.274783 25.1988666, 55.2747991 25.1988994, 55.2748206 25.1988927, 55.2748684 25.1989416, 55.274922 25.1989854, 55.2749806 25.1990236, 55.2750436 25.1990555, 55.2751101 25.199081, 55.2751793 25.1990996, 55.2752587 25.199112, 55.2753392 25.1991154, 55.2754196 25.1991098, 55.2754986 25.1990951, 55.2755749 25.1990717, 55.2756024 25.1990996, 55.2756534 25.1990632, 55.275673 25.1990844, 55.2756984 25.1991, 55.2757274 25.1991087, 55.275758 25.1991099, 55.2757851 25.1991045, 55.2758098 25.1990931, 55.2758307 25.1990766, 55.2758464 25.1990559, 55.2758559 25.1990323, 55.275896 25.199037, 55.2759343 25.1990487, 55.2759672 25.1990655, 55.275996 25.1990875, 55.2760966 25.199011, 55.2763045 25.1990871, 55.2762825 25.1991174, 55.2762664 25.1991507, 55.2762559 25.1991826, 55.2762523 25.1992157, 55.2762559 25.1992488, 55.2762666 25.1992807, 55.2762838 25.1993101, 55.276307 25.1993359, 55.2763354 25.1993571, 55.2763677 25.199373, 55.2764394 25.1993864, 55.2764773 25.1993877, 55.2765673 25.1993794, 55.276639 25.1993692, 55.2766954 25.1993568, 55.2767752 25.1993368, 55.2768504 25.1993185, 55.2770421 25.1993993, 55.2774318 25.1991935, 55.2776322 25.1994936, 55.2776744 25.1994713, 55.2778508 25.1997331, 55.2782216 25.199528, 55.2782142 25.1993156, 55.2782484 25.1993211, 55.278243 25.1993699, 55.2782471 25.1994188, 55.2782567 25.1994559, 55.2782717 25.1994915, 55.278292 25.1995249, 55.2783107 25.1995384, 55.2783327 25.1995469, 55.2783564 25.1995498, 55.2783808 25.1995468, 55.2784034 25.1995378, 55.2784225 25.1995236, 55.2784365 25.1995052, 55.2784647 25.1994331, 55.2784757 25.1993095, 55.2785267 25.1993605, 55.2787104 25.199261, 55.2787292 25.1992901, 55.2793702 25.1989382, 55.2794335 25.1989443, 55.279497 25.1989423, 55.2795596 25.1989324, 55.2796201 25.1989148, 55.2796774 25.1988897, 55.2797059 25.1988745, 55.2797357 25.198856, 55.2797686 25.1988314, 55.2797991 25.1987999, 55.2798264 25.198766, 55.2798501 25.19873, 55.27987 25.1986922, 55.2798861 25.198653, 55.280057 25.1985589, 55.2802006 25.1984765, 55.2803493 25.1983946, 55.2803975 25.1984686, 55.2804804 25.1984229, 55.2805625 25.1983776, 55.2805078 25.1982917, 55.280519 25.1982858, 55.2810969 25.1979802, 55.2811553 25.1980657, 55.2812209 25.1980297, 55.281288 25.1979929, 55.281223 25.1978989, 55.2814362 25.1977853, 55.2815876 25.1977032, 55.2819928 25.1974857, 55.2819881 25.1975245, 55.2819868 25.1975675, 55.2819926 25.1976101, 55.2820052 25.1976516, 55.2820244 25.1976909, 55.2820498 25.1977272, 55.2820823 25.197761, 55.2821201 25.19779, 55.2821624 25.1978133, 55.2822117 25.1978326, 55.2822636 25.1978454, 55.2823169 25.1978513, 55.2823706 25.1978503, 55.2824237 25.1978425, 55.2824749 25.1978279, 55.2825306 25.197803, 55.282581 25.1977702, 55.2826247 25.1977304, 55.2826607 25.1976847, 55.2826879 25.1976342, 55.2827056 25.1975803, 55.282711 25.197529, 55.2827099 25.1974775, 55.2827023 25.1974264, 55.2826881 25.1973765, 55.2826622 25.1973177, 55.2826274 25.1972627, 55.2825843 25.1972128, 55.2825339 25.197169, 55.2824146 25.1970962, 55.2822375 25.1968231, 55.2823236 25.1967701, 55.2823638 25.1967451, 55.2823905 25.1967285, 55.2824139 25.1967103, 55.2824321 25.1966878, 55.2824442 25.1966621, 55.2824495 25.1966346, 55.2824477 25.1966067, 55.2824404 25.1965787, 55.2824221 25.1965369, 55.2823985 25.1964967, 55.2823681 25.1964586, 55.2823552 25.1964464, 55.2823323 25.1964247, 55.2822916 25.1963955, 55.2822614 25.1963794, 55.2822469 25.1963717, 55.2821118 25.1963188, 55.2820784 25.1962696, 55.2817971 25.1958541, 55.2816134 25.195584, 55.2815414 25.1956094, 55.2813839 25.1953491, 55.2809511 25.1946332, 55.2808684 25.1944969, 55.2807979 25.194536, 55.2807777 25.1945059, 55.2807807 25.1944714, 55.2807768 25.194437, 55.2807661 25.1944038, 55.2807618 25.194396, 55.280749 25.1943728, 55.2807261 25.1943451, 55.2806921 25.1943176, 55.2806524 25.1942973, 55.2806089 25.1942851, 55.2805635 25.1942815, 55.2805182 25.1942869, 55.2804592 25.1943092, 55.2804036 25.1943377, 55.2803519 25.1943718, 55.2803105 25.1944062, 55.2802678 25.194443, 55.280235 25.1944842, 55.2801011 25.1946388, 55.2798906 25.194751, 55.2798695 25.1947306, 55.2798184 25.1946906, 55.2797753 25.1946679, 55.2797279 25.1946514, 55.2796784 25.1946416, 55.2796277 25.1946388, 55.2796088 25.1946455, 55.2795928 25.1946567, 55.2795808 25.1946716, 55.279574 25.1946883, 55.2795725 25.1947061, 55.2795765 25.1947236, 55.2795855 25.1947395, 55.2796033 25.1947746, 55.2796277 25.1948063, 55.279659 25.1948343, 55.2796955 25.1948566, 55.2795417 25.1949383, 55.2795059 25.1949576, 55.2794735 25.1949661, 55.27944 25.1949701, 55.2793987 25.1949685, 55.2793584 25.1949599, 55.2793206 25.1949446, 55.2792596 25.1949346, 55.2791976 25.1949336, 55.2791363 25.1949417, 55.2790771 25.1949585, 55.2790217 25.1949836, 55.2789714 25.1950165, 55.2789277 25.1950562, 55.2788946 25.1950973, 55.2788684 25.1951423, 55.2788498 25.1951902, 55.278839 25.1952401, 55.2788377 25.1952654, 55.2788363 25.1952908, 55.2788419 25.1953414, 55.278696 25.1953982, 55.2785546 25.1954634, 55.2784181 25.1955368, 55.2783181 25.1955977, 55.2782216 25.1956631, 55.2781288 25.1957326, 55.2780399 25.1958062, 55.2779987 25.1957694, 55.277952 25.1957386, 55.2779007 25.1957144, 55.277846 25.1956974, 55.2777891 25.195688, 55.2777313 25.1956863, 55.2776738 25.1956924, 55.277618 25.1957062, 55.2775651 25.1957273, 55.2775117 25.1957585, 55.2774645 25.1957972, 55.2774251 25.1958423, 55.2773943 25.1958927, 55.277373 25.1959469, 55.2773618 25.1960036, 55.277361 25.1960612, 55.2773707 25.1961181, 55.2773257 25.1962221, 55.2772714 25.1963223, 55.277208 25.1964181, 55.277136 25.1965088, 55.2770712 25.1965786, 55.2770013 25.1966443, 55.2769267 25.1967055, 55.2768476 25.1967619, 55.2767497 25.1968268, 55.2767256 25.1967297, 55.2766456 25.196747, 55.2765816 25.1967687, 55.2764944 25.1968053, 55.2764252 25.1968456, 55.2763729 25.1968832, 55.2763246 25.196925, 55.2762936 25.1969487, 55.2762578 25.1969661, 55.2762189 25.1969765, 55.2761784 25.1969795, 55.2761382 25.1969748, 55.276098 25.196962, 55.2760619 25.1969417, 55.2760314 25.1969148, 55.2760081 25.1968826, 55.275983 25.1968324, 55.2759491 25.1967866, 55.2759075 25.1967464, 55.2758591 25.1967129, 55.2758054 25.196687, 55.2757477 25.1966694, 55.2756876 25.1966605, 55.2756286 25.1966605, 55.2755704 25.1966689, 55.2755144 25.1966855, 55.2754551 25.1967141, 55.2754186 25.1967418, 55.2753866 25.196774, 55.2753494 25.1968281))",POINT (55.27886876669922 25.197221277573366),,1
Villa Rotana,2,91393012,,yes,,,,"POLYGON ((55.2614054 25.194794, 55.2617603 25.1945333, 55.2614296 25.1941648, 55.2610748 25.1944256, 55.2614054 25.194794))",POINT (55.26141753387039 25.19447941936957),,1
,3,99570315,,apartments,,,,"POLYGON ((55.2694902 25.1910869, 55.2698961 25.1907262, 55.2703289 25.1911251, 55.269923 25.1914858, 55.2694902 25.1910869))",POINT (55.26990955 25.191106),,1
,4,99572827,,yes,,,,"POLYGON ((55.2689842 25.1976111, 55.269185 25.1978848, 55.2688016 25.1981208, 55.2685956 25.1978471, 55.2689842 25.1976111))",POINT (55.26889118608133 25.19786589580692),,1
,5,100783630,,,parking,,,"POLYGON ((55.2585813 25.1926241, 55.2597079 25.1938267, 55.260111 25.1935354, 55.2590041 25.1923167, 55.2585813 25.1926241))",POINT (55.25934643974439 25.193070643933932),,1
,6,100783635,,,parking,,,"POLYGON ((55.2605941 25.1932313, 55.2609531 25.1936162, 55.2604792 25.1939751, 55.2601256 25.1935983, 55.2605941 25.1932313))",POINT (55.26053865485204 25.19360457389952),,1
العنوان - دبي مول,7,106309509,,yes,,,,"POLYGON ((55.2776898 25.2000219, 55.2776273 25.1999488, 55.2775711 25.1998716, 55.2775214 25.1997909, 55.2774786 25.199707, 55.2774428 25.1996204, 55.2774144 25.1995317, 55.2773934 25.1994412, 55.27738 25.1993496, 55.2773824 25.199333, 55.2773903 25.1993179, 55.2774029 25.1993057, 55.2774191 25.1992976, 55.2774372 25.1992944, 55.2774555 25.1992963, 55.2774723 25.1993032, 55.277486 25.1993144, 55.277553 25.1994008, 55.2776117 25.1994921, 55.2776617 25.1995874, 55.2777018 25.1996842, 55.277733 25.1997837, 55.277755 25.1998851, 55.2777676 25.1999879, 55.2776898 25.2000219))",POINT (55.27757276454712 25.19965294345825),,1
Al Manzil,8,126601133,,yes,,,,"POLYGON ((55.2776624 25.191472, 55.2772813 25.1911647, 55.2774041 25.1910399, 55.2776455 25.1912345, 55.2777945 25.1910831, 55.2776797 25.1909905, 55.2777576 25.1909113, 55.2779915 25.1910999, 55.2779282 25.1911642, 55.277949 25.1911809, 55.2776624 25.191472))",POINT (55.27766065586963 25.19120124459911),,1
,9,126601138,,,,swimming_pool,,"POLYGON ((55.2774636 25.1910558, 55.2774192 25.1910221, 55.2775494 25.1908814, 55.2775938 25.190915, 55.2774636 25.1910558))",POINT (55.27750648825656 25.190968590536784),,1
